round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
7,9,0.193196,0.974320,0.952851,0.998488,0.998674,0.873096,0.722110,0.995873,0.755556,0.040000,0,0,0,N/A,0.00
7,10,0.243868,0.957586,0.945307,0.998093,0.998966,0.051948,0.556522,0.990099,0.922678,0.747573,0,0,0,N/A,0.00
7,MEAN,0.314144,0.928807,0.821044,0.998412,0.998403,0.622718,0.681701,0.992935,0.689864,0.422070,0,,N/A,N/A,280.46
8,1,0.390477,0.886251,0.909594,0.995294,0.992424,0.500000,0.757908,0.994904,0.048632,0.520000,0,0,0,N/A,0.00
8,2,0.302356,0.929707,0.941698,0.996944,0.999424,0.293651,0.743707,0.992000,0.490566,0.489796,0,0,0,N/A,0.00
8,3,0.688145,0.744334,0.194705,0.997161,0.985251,0.676399,0.771275,1.000000,0.607466,0.105263,0,0,0,N/A,0.00
8,4,0.204203,0.963253,0.921975,0.997532,0.999173,0.718683,0.468677,0.992893,0.935550,0.541872,0,0,0,N/A,0.00
8,5,0.366592,0.886910,0.643510,0.998217,0.996942,0.899346,0.768205,0.992177,0.115385,0.507042,0,0,0,N/A,0.00
8,6,0.212028,0.959565,0.893617,0.996579,0.993365,0.864583,0.631579,0.986301,0.935000,0.240964,0,0,0,N/A,0.00
8,7,0.344487,0.917931,0.929572,1.000000,1.000000,0.000000,0.621908,0.996145,0.930456,0.849315,0,0,0,N/A,0.00
8,8,0.257717,0.941402,0.865392,0.995588,0.989329,0.316384,0.713060,0.992291,0.909379,0.090909,0,0,0,N/A,0.00
8,9,0.196359,0.964394,0.934192,0.997680,0.995702,0.727786,0.758140,0.997253,0.623853,0.039216,0,0,0,N/A,0.00
8,10,0.252847,0.949187,0.932119,0.995700,0.999035,0.016427,0.632696,0.991763,0.943896,0.740385,0,0,0,N/A,0.00
8,MEAN,0.321521,0.914294,0.816637,0.997070,0.995064,0.501326,0.686716,0.993573,0.654018,0.412476,0,,N/A,N/A,286.27
9,1,0.590208,0.792946,0.858017,0.947761,0.988679,0.276675,0.524197,0.955388,0.042813,0.541667,0,0,0,N/A,0.00
9,2,0.369689,0.883168,0.904470,0.991551,0.999232,0.174118,0.547033,0.964789,0.462500,0.516129,0,0,0,N/A,0.00
9,3,1.209395,0.548510,0.131167,0.997517,0.997015,0.179239,0.509695,1.000000,0.590476,0.117647,0,0,0,N/A,0.00
9,4,0.267621,0.931985,0.878510,0.976107,0.998758,0.504269,0.354839,0.948813,0.895696,0.526316,0,0,0,N/A,0.00
9,5,0.632468,0.780077,0.517941,0.839098,0.996942,0.676500,0.533333,0.951124,0.126984,0.507042,0,0,0,N/A,0.00
9,6,0.263910,0.937719,0.849285,0.996681,0.992410,0.722367,0.465409,0.927536,0.889757,0.270270,0,0,0,N/A,0.00
9,7,0.461046,0.858626,0.889938,0.953177,1.000000,0.000000,0.502242,0.955894,0.894573,0.849315,0,0,0,N/A,0.00
9,8,0.363529,0.899315,0.815397,0.990509,0.991584,0.104478,0.502315,0.948880,0.869565,0.114286,0,0,0,N/A,0.00
9,9,0.226288,0.939038,0.886771,0.996169,0.996361,0.559653,0.518950,0.964539,0.591304,0.041667,0,0,0,N/A,0.00
9,10,0.316756,0.913912,0.890501,0.988168,0.998828,0.007401,0.536873,0.946644,0.907149,0.740385,0,0,0,N/A,0.00
9,MEAN,0.470091,0.848530,0.762200,0.967674,0.995981,0.320470,0.499489,0.956361,0.627082,0.422472,0,,N/A,N/A,279.34
10,1,0.361217,0.890224,0.915158,0.999219,0.996198,0.432171,0.741062,0.996281,0.111888,0.571429,0,0,0,N/A,0.00
10,2,0.244371,0.940304,0.952670,0.999322,0.999808,0.305365,0.757426,0.993151,0.672566,0.527473,0,0,0,N/A,0.00
10,3,0.816194,0.714031,0.168622,0.999646,0.997015,0.277168,0.743480,1.000000,0.732033,0.125000,0,0,0,N/A,0.00
10,4,0.189399,0.959503,0.915044,0.999179,0.999276,0.718683,0.500000,0.996103,0.897586,0.567010,0,0,0,N/A,0.00
10,5,0.374538,0.884264,0.602694,1.000000,0.996942,0.796296,0.756665,0.994618,0.269663,0.514286,0,0,0,N/A,0.00
10,6,0.204049,0.951841,0.864865,0.999197,1.000000,0.846075,0.606335,0.986301,0.893933,0.294118,0,0,0,N/A,0.00
10,7,0.314031,0.917532,0.934040,1.000000,1.000000,0.000000,0.659091,0.998462,0.897806,0.849315,0,0,0,N/A,0.00
10,8,0.256513,0.936065,0.845468,0.999182,0.999230,0.238298,0.702128,0.994505,0.889859,0.166667,0,0,0,N/A,0.00
10,9,0.156735,0.970112,0.945485,0.999698,0.998674,0.740316,0.734491,0.997253,0.767442,0.048780,0,0,0,N/A,0.00
10,10,0.235150,0.945048,0.930727,0.999048,0.999035,0.017131,0.622807,0.995074,0.910167,0.758621,0,0,0,N/A,0.00
10,MEAN,0.315220,0.910892,0.807477,0.999449,0.998618,0.437150,0.682348,0.995175,0.704294,0.442270,0,,N/A,N/A,279.35
11,1,0.235595,0.956593,0.958657,0.998436,0.996198,0.872798,0.893302,0.999610,0.195122,0.559140,0,0,0,N/A,0.00
11,2,0.171608,0.980219,0.984842,0.999322,0.999808,0.720779,0.889625,0.997727,0.721649,0.516129,0,0,0,N/A,0.00
11,3,0.534415,0.848739,0.221422,0.999646,0.997015,0.952055,0.881628,1.000000,0.784404,0.125000,0,0,0,N/A,0.00
11,4,0.155917,0.967762,0.965153,0.998631,0.999535,0.918573,0.369723,0.999117,0.877186,0.572917,0,0,0,N/A,0.00
11,5,0.252527,0.941049,0.687161,1.000000,0.998473,0.955556,0.893878,0.998660,0.387097,0.521739,0,0,0,N/A,0.00
11,6,0.171117,0.957996,0.938324,0.999298,1.000000,0.942111,0.481675,1.000000,0.878049,0.294118,0,0,0,N/A,0.00
11,7,0.233306,0.947883,0.972848,1.000000,1.000000,0.000000,0.620690,1.000000,0.881638,0.849315,0,0,0,N/A,0.00
11,8,0.201334,0.948752,0.907512,0.998875,1.000000,0.767123,0.733232,0.997260,0.873103,0.153846,0,0,0,N/A,0.00
11,9,0.120185,0.988131,0.981496,0.999597,0.998674,0.931408,0.884532,1.000000,0.837838,0.047619,0,0,0,N/A,0.00
11,10,0.187572,0.962145,0.974393,0.998571,0.999518,0.103896,0.495186,0.998363,0.888041,0.781726,0,0,0,N/A,0.00
11,MEAN,0.226358,0.949927,0.859181,0.999238,0.998922,0.716430,0.714347,0.999074,0.732413,0.442155,0,,N/A,N/A,275.42
12,1,0.234637,0.962601,0.975209,0.998045,0.996198,0.942675,0.907125,0.996281,0.105960,0.553191,0,0,0,N/A,0.00
12,2,0.180357,0.974832,0.980863,0.998983,0.999616,0.909836,0.795600,0.994299,0.672566,0.505263,0,0,0,N/A,0.00
12,3,0.465602,0.897632,0.473282,0.999646,0.997015,0.972028,0.918355,1.000000,0.740481,0.125000,0,0,0,N/A,0.00
12,4,0.147145,0.972229,0.983881,0.998356,0.999121,0.950758,0.327670,0.995926,0.915916,0.539216,0,0,0,N/A,0.00
12,5,0.242871,0.954283,0.856502,1.000000,0.996942,0.959554,0.924353,0.994347,0.242424,0.514286,0,0,0,N/A,0.00
12,6,0.154071,0.965842,0.979524,0.999197,0.999045,0.958430,0.456311,0.986301,0.910339,0.285714,0,0,0,N/A,0.00
12,7,0.226637,0.954473,0.981918,1.000000,1.000000,0.000000,0.551422,0.998462,0.915025,0.849315,0,0,0,N/A,0.00
12,8,0.180912,0.962445,0.968788,0.998773,0.998459,0.949153,0.757576,0.994505,0.907169,0.137931,0,0,0,N/A,0.00
12,9,0.122390,0.985434,0.978700,0.999295,0.998674,0.953618,0.833333,0.997253,0.741573,0.044444,0,0,0,N/A,0.00
12,10,0.177189,0.969344,0.983710,0.998571,0.998966,0.444444,0.462287,0.996721,0.929202,0.751220,0,0,0,N/A,0.00
12,MEAN,0.213181,0.959911,0.916238,0.999087,0.998403,0.804049,0.693403,0.995410,0.708066,0.430558,0,,N/A,N/A,283.10
13,1,0.231136,0.952815,0.963869,0.998045,0.996198,0.936709,0.870398,0.995691,0.111111,0.553191,0,0,0,N/A,0.00
13,2,0.161669,0.984193,0.989645,0.999322,0.999808,0.877470,0.871508,0.993151,0.678571,0.545455,0,0,0,N/A,0.00
13,3,0.504884,0.837280,0.236620,0.999646,0.997015,0.972028,0.866318,1.000000,0.747558,0.125000,0,0,0,N/A,0.00
13,4,0.144198,0.974294,0.979275,0.998356,0.999328,0.948064,0.391785,0.994679,0.909651,0.555556,0,0,0,N/A,0.00
13,5,0.253417,0.931424,0.705667,1.000000,0.996942,0.959554,0.872057,0.993806,0.252632,0.514286,0,0,0,N/A,0.00
13,6,0.153507,0.966566,0.956984,0.999197,1.000000,0.954023,0.525074,0.986301,0.907527,0.294118,0,0,0,N/A,0.00
13,7,0.216735,0.961262,0.982133,1.000000,1.000000,0.000000,0.643875,0.997691,0.909994,0.849315,0,0,0,N/A,0.00
13,8,0.186691,0.957410,0.932873,0.998773,1.000000,0.933333,0.741325,0.992845,0.902926,0.153846,0,0,0,N/A,0.00
13,9,0.113039,0.988563,0.985569,0.999396,0.998674,0.951852,0.867257,0.997253,0.776471,0.046512,0,0,0,N/A,0.00
13,10,0.169956,0.973724,0.985804,0.998571,0.999173,0.333333,0.546875,0.991763,0.924108,0.762376,0,0,0,N/A,0.00
13,MEAN,0.213523,0.952753,0.871844,0.999131,0.998714,0.786637,0.719647,0.994318,0.712055,0.439965,0,,N/A,N/A,281.38
14,1,0.284474,0.917353,0.919908,0.998045,0.996198,0.707937,0.793722,0.996281,0.125984,0.553191,0,0,0,N/A,0.00
14,2,0.185535,0.957171,0.963478,0.999322,0.999808,0.441352,0.804322,0.994299,0.684685,0.533333,0,0,0,N/A,0.00
14,3,0.679459,0.756557,0.134387,0.999646,0.997015,0.939189,0.791082,1.000000,0.749226,0.125000,0,0,0,N/A,0.00
14,4,0.149052,0.966119,0.926277,0.998219,0.999276,0.822951,0.552486,0.996637,0.905507,0.552764,0,0,0,N/A,0.00
14,5,0.312357,0.901588,0.558209,1.000000,0.996942,0.951591,0.800000,0.994888,0.263736,0.514286,0,0,0,N/A,0.00
14,6,0.162688,0.960169,0.881253,0.999197,1.000000,0.924276,0.648649,0.986301,0.904618,0.289855,0,0,0,N/A,0.00
14,7,0.244240,0.935503,0.944037,1.000000,1.000000,0.000000,0.694656,0.998462,0.913043,0.849315,0,0,0,N/A,0.00
14,8,0.207049,0.945127,0.846320,0.998773,0.999230,0.543689,0.750236,0.994505,0.898136,0.148148,0,0,0,N/A,0.00
14,9,0.120175,0.977341,0.956145,0.999396,0.998674,0.832258,0.799054,0.997253,0.804878,0.046512,0,0,0,N/A,0.00
14,10,0.181601,0.958606,0.946963,0.998571,0.999104,0.034188,0.684211,0.996721,0.917591,0.758621,0,0,0,N/A,0.00
14,MEAN,0.252663,0.927553,0.807698,0.999117,0.998625,0.619743,0.731842,0.995535,0.716740,0.437102,0,,N/A,N/A,271.12
15,1,0.202118,0.960372,0.965557,0.999219,0.996198,0.940678,0.893365,0.999415,0.155340,0.571429,0,0,0,N/A,0.00
15,2,0.145636,0.985076,0.989724,0.999322,0.999616,0.891566,0.885683,0.997727,0.711538,0.510638,0,0,0,N/A,0.00
15,3,0.455461,0.850140,0.250248,0.999646,0.997015,0.972028,0.876282,1.000000,0.772007,0.125000,0,0,0,N/A,0.00
15,4,0.126297,0.972735,0.990391,0.999042,0.998965,0.948960,0.333333,0.998940,0.896956,0.550000,0,0,0,N/A,0.00
15,5,0.215209,0.941771,0.709559,1.000000,0.996942,0.959554,0.894442,0.998660,0.328767,0.514286,0,0,0,N/A,0.00
15,6,0.136269,0.964031,0.983624,0.999298,0.999045,0.956221,0.443914,1.000000,0.896341,0.289855,0,0,0,N/A,0.00
15,7,0.196356,0.960663,0.989168,1.000000,1.000000,0.000000,0.582278,1.000000,0.905000,0.849315,0,0,0,N/A,0.00
15,8,0.164090,0.955598,0.952941,0.999182,0.998459,0.933333,0.706314,0.997260,0.891290,0.160000,0,0,0,N/A,0.00
15,9,0.096637,0.989858,0.986096,0.999698,0.998674,0.953618,0.888889,1.000000,0.820513,0.048780,0,0,0,N/A,0.00
15,10,0.154552,0.970604,0.991961,0.999048,0.998966,0.380952,0.472114,0.998363,0.910687,0.754902,0,0,0,N/A,0.00
15,MEAN,0.189263,0.955085,0.880927,0.999445,0.998388,0.793691,0.697661,0.999037,0.728844,0.437421,0,,N/A,N/A,272.66
16,1,0.260233,0.931693,0.936420,0.998436,0.996198,0.725203,0.831628,0.996281,0.160000,0.577778,0,0,0,N/A,0.00
16,2,0.170898,0.964942,0.971278,0.999322,0.999808,0.500000,0.831591,0.993151,0.711538,0.545455,0,0,0,N/A,0.00
16,3,0.617962,0.797555,0.164865,0.999646,1.000000,0.805797,0.835503,1.000000,0.775219,0.133333,0,0,0,N/A,0.00
16,4,0.148783,0.966625,0.933915,0.998631,0.999535,0.849408,0.510539,0.996103,0.896780,0.572917,0,0,0,N/A,0.00
16,5,0.285966,0.914100,0.606452,1.000000,0.998473,0.929730,0.832179,0.994618,0.328767,0.521739,0,0,0,N/A,0.00
16,6,0.163160,0.957996,0.883603,0.999298,1.000000,0.919158,0.629482,0.986301,0.892873,0.298507,0,0,0,N/A,0.00
16,7,0.239059,0.939696,0.951576,1.000000,1.000000,0.000000,0.692308,0.998462,0.901444,0.849315,0,0,0,N/A,0.00
16,8,0.203891,0.946939,0.862559,0.998875,1.000000,0.543689,0.772052,0.993953,0.889492,0.160000,0,0,0,N/A,0.00
16,9,0.111346,0.981010,0.965703,0.999497,0.998674,0.858569,0.829493,0.997253,0.804878,0.048780,0,0,0,N/A,0.00
16,10,0.179966,0.959626,0.952577,0.998571,0.999655,0.041026,0.643275,0.993421,0.908291,0.789744,0,0,0,N/A,0.00
16,MEAN,0.238126,0.936018,0.822895,0.999228,0.999234,0.617258,0.740805,0.994954,0.726928,0.449757,0,,N/A,N/A,276.24
17,1,0.249416,0.938281,0.951175,0.997260,0.996226,0.907975,0.820784,0.994115,0.098160,0.565217,0,0,0,N/A,0.00
17,2,0.153147,0.979954,0.986138,0.998305,0.999808,0.804348,0.843318,0.993151,0.649573,0.539326,0,0,0,N/A,0.00
17,3,0.602415,0.796664,0.180129,0.999292,1.000000,0.958621,0.833200,1.000000,0.725025,0.125000,0,0,0,N/A,0.00
17,4,0.144634,0.973873,0.949262,0.998082,0.999793,0.937442,0.589474,0.993072,0.912092,0.582011,0,0,0,N/A,0.00
17,5,0.292003,0.916025,0.637874,0.998217,1.000000,0.952909,0.836057,0.992449,0.247423,0.521739,0,0,0,N/A,0.00
17,6,0.158065,0.966566,0.903875,0.998494,0.999047,0.947489,0.770642,0.986301,0.914921,0.281690,0,0,0,N/A,0.00
17,7,0.218382,0.956470,0.966603,1.000000,1.000000,0.000000,0.711610,0.996918,0.909877,0.849315,0,0,0,N/A,0.00
17,8,0.198838,0.952477,0.878084,0.998055,0.999231,0.835821,0.782369,0.991180,0.902439,0.125000,0,0,0,N/A,0.00
17,9,0.107786,0.985650,0.980539,0.998690,0.998676,0.943119,0.821346,0.997253,0.739130,0.045455,0,0,0,N/A,0.00
17,10,0.166021,0.972584,0.967204,0.998093,0.999862,0.160000,0.737307,0.991763,0.924406,0.802083,0,0,0,N/A,0.00
17,MEAN,0.229071,0.943854,0.840088,0.998449,0.999264,0.744772,0.774611,0.993620,0.702304,0.443684,0,,N/A,N/A,277.19
18,1,0.258848,0.922973,0.955318,0.998045,1.000000,0.789381,0.782553,0.996281,0.043836,0.559140,0,0,0,N/A,0.00
18,2,0.168300,0.971565,0.981436,0.998983,0.999808,0.630682,0.811388,0.993151,0.500000,0.539326,0,0,0,N/A,0.00
18,3,0.582669,0.764833,0.228251,0.999646,1.000000,0.832335,0.788965,1.000000,0.611475,0.133333,0,0,0,N/A,0.00
18,4,0.126158,0.979772,0.970661,0.998356,0.999638,0.891652,0.528117,0.996103,0.947057,0.572917,0,0,0,N/A,0.00
18,5,0.283484,0.902551,0.695167,1.000000,0.998473,0.930988,0.801090,0.994347,0.120603,0.521739,0,0,0,N/A,0.00
18,6,0.130990,0.975015,0.949408,0.999197,1.000000,0.931538,0.654867,0.986301,0.949222,0.294118,0,0,0,N/A,0.00
18,7,0.210412,0.961861,0.975146,1.000000,1.000000,0.000000,0.683824,0.998462,0.942840,0.849315,0,0,0,N/A,0.00
18,8,0.171115,0.959122,0.920769,0.998773,1.000000,0.666667,0.733143,0.994505,0.921012,0.153846,0,0,0,N/A,0.00
18,9,0.105846,0.982736,0.978460,0.999194,0.998343,0.906854,0.796209,0.997253,0.614035,0.045455,0,0,0,N/A,0.00
18,10,0.154892,0.977263,0.977057,0.998571,0.999655,0.067797,0.671202,0.996721,0.956395,0.789744,0,0,0,N/A,0.00
18,MEAN,0.219271,0.939769,0.863167,0.999076,0.999592,0.664789,0.725136,0.995312,0.660647,0.445893,0,,N/A,N/A,274.10
19,1,0.358064,0.889739,0.912161,0.997653,0.992424,0.512644,0.684100,0.995888,0.099174,0.577778,0,0,0,N/A,0.00
