round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
12,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
