round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
8,6,1.5982,0.6674,0.1623,0.2978,0.9152,0.5595,0.9728,0.2802,0.157,0.0514
8,7,2.0393,0.4,0.2784,0.3365,0.8958,0.464,0.5197,0.5398,0.1398,0.0593
8,8,1.8815,0.5665,0.1288,0.3146,0.9098,0.7809,0.9713,0.4987,0,0.0568
8,9,2.2321,0.5138,0.3656,0.0132,0.9101,0.6924,0.7901,0.2152,0.1258,0.0562
8,10,1.601,0.5425,0.2538,0.3234,0.913,0.7806,0.9647,0.5795,0.1143,0.0463
8,MEAN,1.7453,0.5743,0.2488,0.2464,0.9159,0.6081,0.9015,0.4194,0.113,0.0491
9,1,0.1337,0.9713,0.8445,0.8939,0.9992,0.892,0.999,0.979,0.9592,0.9516
9,2,0.149,0.9546,0.9762,0.8839,1,0.9658,1,0.9451,0.6806,0.9604
9,3,0.1502,0.9612,0.1943,0.9222,0.9995,0.9472,0.9996,0.9412,0.9418,0.9243
9,4,0.168,0.9653,0.9788,0.8803,0.996,0.9635,0.9993,0.3882,0.7945,0.9732
9,5,0.0614,0.9845,0.3524,0.9308,0.9993,0.9674,0.9992,0.972,0.1566,0.8189
9,6,0.1318,0.9648,0.8831,0.919,0.9995,0.9526,0.9992,0.8452,0.9199,0.9224
9,7,0.2001,0.9511,0.8658,0.9111,1,0.9677,1,0.9687,0.9506,0.9451
9,8,0.1556,0.9503,0.8165,0.9179,0.9985,0.9651,0.999,0.9471,0.5,0.8979
9,9,0.1531,0.9642,0.9775,0.12,0.9996,0.9678,1,0.8921,0.8746,0.9684
9,10,0.137,0.9557,0.8708,0.9035,0.98,0.9686,0.9997,0.9721,0.3105,0.9312
9,MEAN,0.144,0.9623,0.776,0.8283,0.9972,0.9558,0.9995,0.8851,0.7088,0.9294
10,1,0.1614,0.9556,0.7557,0.8923,0.9992,0.9636,0.999,0.9569,0.9675,0.936
10,2,0.1495,0.9519,0.9654,0.8739,1,0.9679,1,0.945,0.7018,0.9563
10,3,0.1594,0.9562,0.1114,0.9343,0.9995,0.9714,0.9996,0.9415,0.9537,0.8808
10,4,0.1524,0.9672,0.9775,0.8975,0.996,0.96,0.9993,0.4583,0.7849,0.9712
10,5,0.069,0.9784,0.2209,0.9371,0.9992,0.9637,0.9996,0.9541,0.1421,0.7162
10,6,0.1307,0.966,0.8333,0.93,0.9993,0.9594,0.9995,0.8995,0.9281,0.8775
10,7,0.2259,0.9347,0.779,0.9145,1,0.9739,1,0.9517,0.9556,0.9224
