model,condition,n_seeds,seeds_present,seeds_missing,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,minority_f1_avg_mean_PARTIAL,minority_recall_avg_mean_PARTIAL,minority_aucpr_avg_mean_PARTIAL,classes_in_this_model,f1_Ransomware_mean,f1_MITM_mean,f1_XSS_mean,f1_Fingerprinting_mean,f1_Vulnerability_scanner_mean,f1_Ransomware_ci95,f1_MITM_ci95,f1_XSS_ci95,f1_Fingerprinting_ci95,f1_Vulnerability_scanner_ci95,recall_Ransomware_mean,recall_MITM_mean,recall_XSS_mean,recall_Fingerprinting_mean,recall_Vulnerability_scanner_mean,recall_Ransomware_ci95,recall_MITM_ci95,recall_XSS_ci95,recall_Fingerprinting_ci95,recall_Vulnerability_scanner_ci95,aucpr_Ransomware_mean,aucpr_MITM_mean,aucpr_XSS_mean,aucpr_Fingerprinting_mean,aucpr_Vulnerability_scanner_mean,aucpr_Ransomware_ci95,aucpr_MITM_ci95,aucpr_XSS_ci95,aucpr_Fingerprinting_ci95,aucpr_Vulnerability_scanner_ci95
application,task4_fedprox_mu0.1,5,42;123;456;789;2024,,0.6880650348400928,0.09427710235896025,0.5097161752633015,0.0987485147260914,0.1311509203221272,0.09342075556917206,0.21472075992587378,XSS;Fingerprinting,,,0.2507633791057928,0.011538461538461539,,,,0.08663694275773866,0.03203076923076923,,,,0.18084151113834412,0.006,,,,0.09401602285126708,0.016656,,,,0.28881471717432805,0.1406268026774195,,,,0.04445238314912405,0.29550886314473024,
network,task4_centralized_cnnlstm,5,42;123;456;789;2024,,0.9946463432947891,0.00042825356609232375,0.9477101704730299,0.0035547621868120423,0.8660275382030619,0.973606513368059,0.8795055211445901,Ransomware;MITM;Vulnerability_scanner,0.9554648632254341,0.655648717333667,,,0.9869690340500845,0.004598320250150818,0.026001003481036258,,,0.0026665532633826975,0.9365050320219579,1.0,,,0.9843145080822191,0.008635315645013728,0.0,,,0.007153869314328552,0.9905298129780084,0.6492894139329949,,,0.9986973365227673,0.0011473398735969832,0.01835755031216852,,,0.00030732948516240115
network,task4_centralized_mlp,5,42;123;456;789;2024,,0.9946350803423938,0.0003862467048920935,0.9408673602216329,0.017159814678476003,0.847605574353795,0.929968182243525,0.8819016596563559,Ransomware;MITM;Vulnerability_scanner,0.9487956492974504,0.6063938503703308,,,0.9876272233936039,0.015227399838796559,0.12122936973596836,,,0.0010467190602906848,0.9429094236047575,0.8578512396694216,,,0.989143883456396,0.02545633553814639,0.3946049586776859,,,0.0022611665779411908,0.9906546211425933,0.6563776700303567,,,0.9986726877961178,0.0009499640878944371,0.02459751163347781,,,0.00031309658387967287
network,task4_centralized_rf,5,42;123;456;789;2024,,0.9960016518996847,0.0002416237887022711,0.9498435191853825,0.0040872521493912186,0.8692782035494856,0.9759480287009933,0.8830635739271382,Ransomware;MITM;Vulnerability_scanner,0.9555542653259911,0.6589792019381633,,,0.9933011433843024,0.0046639044061246695,0.028891635510163508,,,0.0006336048600112285,0.9365050320219579,1.0,,,0.9913390540810217,0.008635315645013728,0.0,,,0.0018506622076889868,0.9910031015603569,0.6584312700402049,,,0.9997563501808528,0.001319888628364326,0.024721366041300978,,,6.193545838926327e-05
network,task4_centralized_xgboost,5,42;123;456;789;2024,,0.996057966661661,0.0002717721260976758,0.9499199518746269,0.004118138058632252,0.869374631522259,0.9754956905116764,0.8830893686069096,Ransomware;MITM;Vulnerability_scanner,0.9555542653259911,0.6589792019381633,,,0.9935904273026226,0.0046639044061246695,0.028891635510163508,,,0.000535565266220312,0.9365050320219579,1.0,,,0.9899820395130712,0.008635315645013728,0.0,,,0.0018572835605320905,0.9910092940296661,0.6584312700402049,,,0.999827541750858,0.0013229708921239755,0.02472136604130094,,,3.21152016586068e-05
network,task4_fedavg,5,42;123;456;789;2024,,0.9456750262802223,0.0697621919654325,0.8615567474604655,0.11101859527127084,0.7122439412427292,0.7704563374009515,0.8484338527777101,Ransomware;MITM;Vulnerability_scanner,0.7479692106215848,0.5314047774423554,,,0.8573578356642475,0.2682948258793724,0.14310992709396392,,,0.25780856586741774,0.9363220494053065,0.575206611570248,,,0.7998403512273,0.008746647903575088,0.4819817308406498,,,0.32963350243832734,0.9528747994834739,0.6521717278965686,,,0.9402550309530875,0.040741681955553125,0.016011688225682847,,,0.1411572545294486
network,task4_fedprox_dpsafe_arch_no_dp,5,42;123;456;789;2024,,0.9908206937978676,0.002703696804062033,0.9390118427498205,0.005270704984272924,0.8494211193038295,0.9703126315153323,0.8762887395536291,Ransomware;MITM;Vulnerability_scanner,0.9553674328395333,0.6233435829342782,,,0.9695523421376772,0.004810946969223509,0.03301298775641613,,,0.014524789024030229,0.9363220494053065,1.0,,,0.9746158451406904,0.008746647903575088,0.0,,,0.026567082881364442,0.9905482673077017,0.64349389846642,,,0.9948240528867653,0.001279778647026217,0.01688386133029179,,,0.001955154022155523
network,task4_fedprox_mu0,5,42;123;456;789;2024,,0.9450518095810182,0.06922340446240348,0.8556828861168666,0.10260540885139295,0.6974302593665072,0.7290656702789269,0.840181437265486,Ransomware;MITM;Vulnerability_scanner,0.7441667056963426,0.49370924671609845,,,0.8544148256870805,0.2659188245136132,0.10213811285644495,,,0.25556836424987894,0.9487648673376029,0.43966942148760324,,,0.7987627220115746,0.03660307300951042,0.38990855092550897,,,0.32746302113009723,0.9489355641219209,0.6381667200257783,,,0.9334420276487588,0.04115502061686401,0.053139044344293535,,,0.1370720530988146
network,task4_fedprox_mu0.005,5,42;123;456;789;2024,,0.9463770836461931,0.044490937000749076,0.8707629566714493,0.07432344934326272,0.7393827474672632,0.8903691397223111,0.8533136223176904,Ransomware;MITM;Vulnerability_scanner,0.6946692688196665,0.6069345039560525,,,0.9165444696260705,0.20973259847646747,0.11302872362249936,,,0.03683188860205446,0.9365050320219579,0.8578512396694216,,,0.8767511474755537,0.008635315645013728,0.3946049586776859,,,0.08000256374170721,0.9460999092018717,0.6491397642343291,,,0.9647011935168706,0.0391256722102075,0.0269847388859896,,,0.02923262826701938
network,task4_fedprox_mu0.02,5,42;123;456;789;2024,,0.9271850127646794,0.05619626371412481,0.8457957473671902,0.0812567242303677,0.6970524203163669,0.8997157397367146,0.8102223366052654,Ransomware;MITM;Vulnerability_scanner,0.6408796279020244,0.6109690201242499,,,0.8393086129228265,0.2812742057096013,0.030913582520981465,,,0.132727494140636,0.9365050320219579,1.0,,,0.762642187188186,0.008635315645013728,0.0,,,0.19873737110913042,0.881370227542513,0.6377821259774691,,,0.9115146562958142,0.2090404636353779,0.03304305274266288,,,0.07962164519554027
network,task4_fedprox_mu0.05,5,42;123;456;789;2024,,0.9238286529508934,0.049569599754621926,0.8447279402130057,0.06766895986064432,0.7169664536843644,0.9000749494752899,0.8234932676128276,Ransomware;MITM;Vulnerability_scanner,0.7147351601627087,0.5876899903704313,,,0.8484742105199532,0.30271976996074335,0.07278339001781332,,,0.037419157006956444,0.9365050320219579,1.0,,,0.7637198164039114,0.008635315645013728,0.0,,,0.0649529716789604,0.9335683287704294,0.6295904059274681,,,0.9073210681405854,0.07619492886045826,0.05604644795994971,,,0.04221260217992446
network,task4_fedprox_mu0.1,5,42;123;456;789;2024,,0.91615482805226,0.016859559295311844,0.8194447985032463,0.028577402306589277,0.6568484284905166,0.8857262367253039,0.8048182372101644,Ransomware;MITM;Vulnerability_scanner,0.5733420782789801,0.5529398356241477,,,0.8442633715684222,0.1383877335168206,0.05964022741686614,,,0.056717465040617115,0.9139981701738336,0.9735537190082646,,,0.7696268209938136,0.03366550864999195,0.03933759064608488,,,0.09680837645579378,0.9085650988264409,0.5974478994621568,,,0.9084417133418958,0.020638277335902268,0.07502254665583331,,,0.02679521298463144
